source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0080090,regulation of primary metabolic process,3.4562110369557864e-09,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5390,221,105,21026,0.4751131221719457,0.01948051948051948,query_1,"['GO:0019222', 'GO:0044238']","['ACTR3', 'APC', 'APLP1', 'ARID1A', 'ARID2', 'ATAD2', 'ATXN7L3', 'BIRC2', 'BRD8', 'BRMS1', 'BRPF1', 'BTAF1', 'C1D', 'CCNC', 'CCND1', 'CCNE1', 'CDK4', 'CEP350', 'CITED2', 'CNOT2', 'DDA1', 'DICER1', 'DNM1L', 'DOCK7', 'DPRX', 'E2F3', 'EIF4G1', 'FBXW11', 'FZR1', 'G6PD', 'GATAD1', 'GCN1', 'GLMN', 'GRSF1', 'H1-2', 'HAMP', 'HSF1', 'ILK', 'KAT6A', 'KDM2A', 'KMT2A', 'KMT2B', 'KMT5A', 'KRAS', 'L3MBTL3', 'LIN52', 'LIN54', 'LSM14A', 'MAP3K7', 'MARK2', 'MECOM', 'MED1', 'MED25', 'MEN1', 'METAP1', 'MTERF3', 'MYBL2', 'NELFB', 'NSMCE2', 'PARD3', 'PARL', 'PARN', 'PAX8', 'PCBD2', 'PCGF1', 'PFDN1', 'PLAA', 'PPP4R2', 'PSME3', 'PSTK', 'RAF1', 'RANBP2', 'RELA', 'RICTOR', 'RNF31', 'SAMD4B', 'SKP2', 'SLC30A9', 'SMARCA4', 'SMARCA5', 'SOX17', 'SUPT3H', 'SUPT7L', 'SUZ12', 'TAFAZZIN', 'TDG', 'TMED10', 'TMED2', 'TRAF2', 'TRUB2', 'UBQLN4', 'USP1', 'VBP1', 'VEZF1', 'WDR48', 'WT1', 'WWTR1', 'YTHDC1', 'YTHDF2', 'ZEB1', 'ZFP36L1', 'ZFP69', 'ZNF496', 'ZNF780B', 'ZNF875']","[['IDA'], ['IDA', 'IGI', 'IC'], ['IEA'], ['IDA', 'IBA', 'NAS'], ['IMP', 'NAS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IDA', 'IBA'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IBA', 'IEA'], ['ISS'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'TAS', 'NAS', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IBA'], ['IMP', 'IEA'], ['IDA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IDA', 'IMP', 'IBA'], ['TAS'], ['IMP', 'IEA'], ['IDA', 'IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['ISS'], ['IGI'], ['IMP', 'IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IBA', 'TAS'], ['IDA'], ['ISS', 'IEA'], ['IMP'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISO', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'TAS', 'NAS'], ['NAS'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IMP'], ['IDA', 'IMP', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'IBA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['ISS', 'IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]"
GO:BP,GO:1903047,mitotic cell cycle process,1.3203495475139903e-07,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",745,221,31,21026,0.14027149321266968,0.04161073825503356,query_1,"['GO:0000278', 'GO:0022402']","['APC', 'ARID1A', 'ARID2', 'CCND1', 'CCNE1', 'CDK4', 'CENPI', 'CEP55', 'CIT', 'E2F3', 'EIF4G1', 'FBXW11', 'FZR1', 'KIF20A', 'KIF2C', 'KIF4A', 'KMT5A', 'LSM14A', 'MAD2L1BP', 'MIIP', 'MYBL2', 'NSMCE2', 'PSME3', 'RAD51B', 'SKP2', 'SMARCA4', 'SMARCA5', 'SPAG5', 'TACC3', 'VPS4B', 'ZFP36L1']","[['IMP'], ['NAS'], ['NAS'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'NAS'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IBA'], ['IMP', 'IGI', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA'], ['IMP'], ['IBA'], ['IDA'], ['IMP'], ['IMP'], ['IMP', 'IBA'], ['TAS'], ['IMP'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP'], ['IBA', 'TAS', 'IEA'], ['NAS'], ['IDA', 'IMP'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'NAS'], ['ISS', 'IEA']]"
GO:BP,GO:0000278,mitotic cell cycle,1.5009069484668394e-07,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",892,221,34,21026,0.15384615384615385,0.03811659192825112,query_1,['GO:0007049'],"['APC', 'ARID1A', 'ARID2', 'CCND1', 'CCNE1', 'CDK4', 'CENPI', 'CEP55', 'CIT', 'E2F3', 'EIF4G1', 'FBXW11', 'FZR1', 'HSF1', 'KIF20A', 'KIF2C', 'KIF4A', 'KMT5A', 'LSM14A', 'MAD2L1BP', 'MAEA', 'MIIP', 'MYBL2', 'NSMCE2', 'PSME3', 'RAD51B', 'SKP2', 'SMARCA4', 'SMARCA5', 'SPAG5', 'TACC3', 'VPS4B', 'XRCC2', 'ZFP36L1']","[['IMP'], ['NAS'], ['NAS'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'NAS'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IBA'], ['IMP', 'IGI', 'IBA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IDA'], ['IMP'], ['IBA'], ['IDA', 'NAS'], ['IMP'], ['IMP'], ['IMP'], ['IMP', 'IBA'], ['TAS'], ['IMP'], ['IMP', 'IEA'], ['NAS'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IBA', 'IEA'], ['IMP'], ['IBA', 'TAS', 'IEA'], ['NAS'], ['IDA', 'IMP'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'NAS'], ['IMP'], ['ISS', 'IEA']]"
GO:BP,GO:0007049,cell cycle,2.0108131528598241e-07,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1663,221,48,21026,0.2171945701357466,0.028863499699338546,query_1,['GO:0009987'],"['ACTR3', 'APC', 'ARID1A', 'ARID2', 'BIRC2', 'BRD8', 'CCNC', 'CCND1', 'CCNE1', 'CDK4', 'CENPI', 'CEP55', 'CIT', 'CITED2', 'E2F3', 'EIF4G1', 'FBXW11', 'FZR1', 'HSF1', 'KIF20A', 'KIF2C', 'KIF4A', 'KMT5A', 'LSM14A', 'MAD2L1BP', 'MAEA', 'MAP3K7', 'MECOM', 'MED1', 'MEN1', 'MIIP', 'MYBL2', 'NSMCE2', 'PARD6B', 'PDS5B', 'PSME3', 'RAD51B', 'RAD51D', 'SKP2', 'SLC25A5', 'SMARCA4', 'SMARCA5', 'SPAG5', 'TACC3', 'VPS4B', 'XRCC2', 'YTHDF2', 'ZFP36L1']","[['IEA'], ['IDA', 'IMP', 'NAS'], ['NAS'], ['NAS'], ['IDA', 'IBA'], ['IMP'], ['IDA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IBA', 'NAS'], ['IMP', 'IGI', 'IBA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IMP'], ['IBA'], ['IDA', 'NAS', 'IEA'], ['IMP'], ['IDA', 'IMP'], ['IMP', 'IEA'], ['IMP', 'IBA'], ['TAS'], ['IMP'], ['IMP', 'IEA'], ['NAS'], ['IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IBA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IMP', 'TAS'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['NAS'], ['IDA', 'IMP'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IMP', 'NAS'], ['IMP', 'TAS'], ['ISS', 'IEA'], ['ISS', 'IEA']]"
GO:BP,GO:0006996,organelle organization,2.582182930107922e-07,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3594,221,77,21026,0.34841628959276016,0.02142459654980523,query_1,['GO:0016043'],"['ACTR3', 'APC', 'ARID1A', 'ARID2', 'ARPC2', 'ARPC4', 'BCS1L', 'CCNE1', 'CENPI', 'CEP350', 'CNOT2', 'COX20', 'DCLRE1B', 'DNM1L', 'DOCK7', 'FBXW11', 'FZR1', 'GCN1', 'GET3', 'H1-2', 'HSF1', 'KAT6A', 'KIF20A', 'KIF2C', 'KIF4A', 'KMT5A', 'KRAS', 'KRT8', 'LMNB1', 'LRFN1', 'LSM14A', 'MAD2L1BP', 'MAEA', 'MARK2', 'METTL17', 'MFN2', 'MTERF3', 'MYBL2', 'NDUFA2', 'NSMCE2', 'PARD3', 'PARD6B', 'PARL', 'PARN', 'PDS5B', 'PEX6', 'PLEKHF1', 'POLR2M', 'PPP2R3C', 'RAB18', 'RAD51B', 'RAD51D', 'RAF1', 'RHPN1', 'RICTOR', 'SEC16A', 'SLC25A5', 'SLC30A9', 'SLC4A7', 'SMARCA4', 'SMARCA5', 'SNAP23', 'SPAG5', 'STRIP1', 'STX4', 'TACC3', 'TAFAZZIN', 'TMED10', 'TMED2', 'TOMM20', 'TWF1', 'UBQLN4', 'VPS4B', 'VTI1B', 'WWTR1', 'XRCC2', 'YTHDF2']","[['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA'], ['NAS'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IMP'], ['IBA'], ['IEA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['TAS'], ['IDA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IMP'], ['IMP', 'NAS'], ['IBA'], ['IBA'], ['IMP', 'IEA'], ['IMP'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA'], ['TAS'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IBA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['NAS'], ['IDA', 'IMP', 'ISO', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IBA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['NAS'], ['ISS', 'IBA', 'IEA'], ['IMP'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0006325,chromatin organization,5.057404217064131e-07,True,"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]",884,221,33,21026,0.1493212669683258,0.03733031674208145,query_1,['GO:0016043'],"['ARID1A', 'ARID2', 'ATAD2', 'ATXN7L3', 'BRD8', 'BRPF1', 'BTAF1', 'CENPI', 'CFDP1', 'GATAD1', 'GLMN', 'H1-2', 'KAT6A', 'KDM2A', 'KMT2A', 'KMT2B', 'KMT5A', 'L3MBTL3', 'LIN54', 'LMNB1', 'MAP3K7', 'MECOM', 'MEN1', 'NSMCE2', 'PCGF1', 'RELA', 'SMARCA4', 'SMARCA5', 'SUZ12', 'TDG', 'TTF2', 'WT1', 'YTHDC1']","[['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['IBA'], ['IBA'], ['IDA', 'IBA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IBA'], ['IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['NAS'], ['IDA', 'IMP'], ['IEA'], ['IDA', 'IMP', 'HDA', 'ISS', 'NAS', 'IC', 'IEA'], ['EXP', 'IDA', 'IMP', 'ISO', 'TAS', 'NAS', 'IEA'], ['IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0006281,DNA repair,9.711789542087293e-07,True,"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]",621,221,27,21026,0.12217194570135746,0.043478260869565216,query_1,"['GO:0006259', 'GO:0006974']","['ARID1A', 'ARID2', 'ATXN7L3', 'BRD8', 'DCLRE1B', 'FZR1', 'GGN', 'HSF1', 'KDM2A', 'KMT5A', 'MEN1', 'NSMCE2', 'PPP4R2', 'RAD51B', 'RAD51D', 'SKP2', 'SLC30A9', 'SMARCA4', 'SMARCA5', 'SUPT3H', 'SUPT7L', 'TDG', 'TTF2', 'UBQLN4', 'USP1', 'WDR48', 'XRCC2']","[['NAS'], ['IMP', 'NAS'], ['NAS'], ['IDA', 'NAS'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IMP', 'IEA'], ['IMP'], ['IDA'], ['NAS'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IMP'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['TAS'], ['NAS'], ['IDA'], ['NAS'], ['NAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA'], ['IDA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IGI', 'IBA', 'TAS', 'IEA']]"
GO:BP,GO:0022402,cell cycle process,1.019019734052798e-06,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",1280,221,40,21026,0.18099547511312217,0.03125,query_1,"['GO:0007049', 'GO:0009987']","['ACTR3', 'APC', 'ARID1A', 'ARID2', 'CCNC', 'CCND1', 'CCNE1', 'CDK4', 'CENPI', 'CEP55', 'CIT', 'E2F3', 'EIF4G1', 'FBXW11', 'FZR1', 'KIF20A', 'KIF2C', 'KIF4A', 'KMT5A', 'LSM14A', 'MAD2L1BP', 'MED1', 'MIIP', 'MYBL2', 'NSMCE2', 'PARD6B', 'PDS5B', 'PSME3', 'RAD51B', 'RAD51D', 'SKP2', 'SLC25A5', 'SMARCA4', 'SMARCA5', 'SPAG5', 'TACC3', 'VPS4B', 'XRCC2', 'YTHDF2', 'ZFP36L1']","[['IEA'], ['IDA', 'IMP', 'NAS'], ['NAS'], ['NAS'], ['IDA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IBA', 'NAS'], ['IMP', 'IGI', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA'], ['IMP'], ['IBA'], ['IDA', 'IEA'], ['IDA', 'IMP'], ['IMP', 'IEA'], ['IMP', 'IBA'], ['TAS'], ['IMP'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IBA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IMP', 'TAS'], ['IBA', 'TAS'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['NAS'], ['IDA', 'IMP'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['IMP', 'NAS'], ['IMP'], ['ISS', 'IEA'], ['ISS', 'IEA']]"
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,5.9940185592327365e-06,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,221,79,21026,0.3574660633484163,0.019799498746867168,query_1,"['GO:0006139', 'GO:0080090']","['ACTR3', 'ARID1A', 'ARID2', 'ATAD2', 'ATXN7L3', 'BIRC2', 'BRD8', 'BRMS1', 'BRPF1', 'BTAF1', 'C1D', 'CCNC', 'CCND1', 'CCNE1', 'CDK4', 'CEP350', 'CITED2', 'CNOT2', 'DICER1', 'DNM1L', 'DPRX', 'E2F3', 'FBXW11', 'GATAD1', 'GRSF1', 'H1-2', 'HAMP', 'HSF1', 'ILK', 'KAT6A', 'KDM2A', 'KMT2A', 'KMT2B', 'KMT5A', 'L3MBTL3', 'LIN52', 'LIN54', 'MECOM', 'MED1', 'MED25', 'MEN1', 'MTERF3', 'MYBL2', 'NELFB', 'NSMCE2', 'PARN', 'PAX8', 'PCBD2', 'PCGF1', 'PPP4R2', 'RAF1', 'RELA', 'RNF31', 'SAMD4B', 'SKP2', 'SLC30A9', 'SMARCA4', 'SMARCA5', 'SOX17', 'SUPT3H', 'SUPT7L', 'SUZ12', 'TAFAZZIN', 'TDG', 'TRAF2', 'UBQLN4', 'USP1', 'VEZF1', 'WDR48', 'WT1', 'WWTR1', 'YTHDC1', 'YTHDF2', 'ZEB1', 'ZFP36L1', 'ZFP69', 'ZNF496', 'ZNF780B', 'ZNF875']","[['IDA'], ['IDA', 'IBA', 'NAS'], ['IMP', 'NAS', 'IEA'], ['IDA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IDA', 'IBA'], ['IDA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IEA'], ['IEA'], ['IDA'], ['IBA', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IEA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IEA'], ['IDA', 'IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['NAS'], ['IMP', 'IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA'], ['IBA', 'TAS'], ['IMP'], ['IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IMP', 'ISO', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'TAS', 'NAS'], ['NAS'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IDA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]"
GO:BP,GO:0006338,chromatin remodeling,6.343535667851447e-06,True,"""A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."" [GOC:jid, GOC:vw, PMID:12042764, PMID:12697820]",725,221,28,21026,0.12669683257918551,0.038620689655172416,query_1,['GO:0006325'],"['ARID1A', 'ARID2', 'ATAD2', 'BRPF1', 'BTAF1', 'CENPI', 'CFDP1', 'GATAD1', 'GLMN', 'H1-2', 'KAT6A', 'KDM2A', 'KMT2A', 'KMT2B', 'KMT5A', 'LIN54', 'LMNB1', 'MAP3K7', 'MECOM', 'MEN1', 'PCGF1', 'SMARCA4', 'SMARCA5', 'SUZ12', 'TDG', 'TTF2', 'WT1', 'YTHDC1']","[['IDA', 'TAS', 'NAS', 'IEA'], ['IDA', 'NAS'], ['IBA'], ['IMP'], ['IEA'], ['IBA'], ['IBA'], ['IDA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IDA'], ['IBA'], ['IEA'], ['IEA'], ['IMP'], ['IDA', 'IMP'], ['IDA', 'IMP', 'HDA', 'ISS', 'NAS', 'IC', 'IEA'], ['EXP', 'IDA', 'IMP', 'ISO', 'TAS', 'NAS', 'IEA'], ['IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA']]"
